SA2_code,y.kidney.male,sd.kidney.male,y.kidney.female,sd.kidney.female,y.kidney.persons,sd.kidney.persons
11100,-0.040821995,0.146776568,-0.061875404,0.192186808,-0.051293294,0.135920752
11101,-0.083381609,0.13556284,-0.127833372,0.179069859,-0.127833372,0.127577043
11102,-0.040821995,0.146776568,-0.051293294,0.194182164,-0.051293294,0.140018799
11103,-0.030459207,0.091264904,-0.072570693,0.117129817,-0.040821995,0.083183483
11104,-0.040821995,0.122282068,-0.030459207,0.161039872,-0.030459207,0.116994932
11105,-0.061875404,0.107293576,-0.020202707,0.144166822,-0.040821995,0.096552041
11106,-0.051293294,0.127624568,-0.094310679,0.174066713,-0.072570693,0.125777551
11107,-0.020202707,0.103328706,0.104360015,0.139834908,0.029558802,0.102833122
11108,-0.030459207,0.121159886,0.165514438,0.155351628,0.048790164,0.108966378
11109,-0.010050336,0.076434836,0.086177696,0.097680633,0.039220713,0.068741119
11110,-0.051293294,0.093021202,0.029558802,0.118778297,-0.020202707,0.086031996
11111,0.076961041,0.110055394,0.104360015,0.143317544,0.122217633,0.098261789
11112,-0.094310679,0.145372979,0.131028262,0.194793553,-0.020202707,0.136256523
11113,-0.030459207,0.086847525,0.113328685,0.117480112,0.039220713,0.085608906
11114,0.029558802,0.118778297,0.122217633,0.154617399,0.09531018,0.100693589
11115,0.058268908,0.108039913,0.09531018,0.137414762,0.104360015,0.092254555
11116,-0.010050336,0.110747197,0.058268908,0.149177532,0.019802627,0.107810762
11117,0.058268908,0.104130284,0.09531018,0.130278924,0.104360015,0.096076326
11118,0.029558802,0.110867998,0.113328685,0.149049195,0.086177696,0.105353019
11119,-0.020202707,0.144166822,0.009950331,0.194944774,0,0.133859319
11120,0.029558802,0.145536703,0.039220713,0.190249458,0.067658648,0.133492397
11121,-0.051293294,0.140018799,0,0.182486961,-0.040821995,0.126447022
11122,0.086177696,0.116649512,0.182321557,0.159374839,0.173953307,0.111269786
11123,0.029558802,0.110867998,0.086177696,0.138518749,0.067658648,0.103249229
11124,-0.061875404,0.153516482,0.048790164,0.208487083,-0.010050336,0.14289667
11125,-0.020202707,0.094753646,0.048790164,0.128221647,0.019802627,0.091351138
11126,-0.040821995,0.150747047,0.371563556,0.20804149,0.165514438,0.142434379
11127,-0.094310679,0.123842186,0.113328685,0.169059763,-0.010050336,0.114878426
11128,0,0.189573243,-0.083381609,0.256169359,-0.030459207,0.179868728
11129,-0.083381609,0.077061356,-0.010050336,0.102383008,-0.072570693,0.076291701
11130,0.165514438,0.105127101,0.157003749,0.143495501,0.19062036,0.092317958
11131,0.270027137,0.102028822,0.231111721,0.131361374,0.322083499,0.088067726
11132,0.223143551,0.119531273,0.165514438,0.161689648,0.254642218,0.113057123
11133,0.104360015,0.129242056,0.113328685,0.17877823,0.122217633,0.12368647
11134,0.113328685,0.099059191,0.104360015,0.139834908,0.122217633,0.098261789
11135,0.148420005,0.077390096,0.086177696,0.097680633,0.157003749,0.069217278
11136,0.139761942,0.100362395,0.113328685,0.135259056,0.157003749,0.095196916
11137,0.254642218,0.125578097,0.19062036,0.167435425,0.292669614,0.118397406
11138,0.067658648,0.151522686,0.165514438,0.206869953,0.122217633,0.144514018
11139,0.058268908,0.141940474,0.113328685,0.197676838,0.086177696,0.134938355
11140,0.086177696,0.105353019,0.139761942,0.142320608,0.122217633,0.101972381
11141,0.131028262,0.104818354,0.113328685,0.145636446,0.139761942,0.100362395
11142,0.19062036,0.136124738,0.165514438,0.183272495,0.223143551,0.125949019
11143,0.173953307,0.134847767,0.122217633,0.183779855,0.182321557,0.117238823
11144,0.076961041,0.106233623,0.104360015,0.139834908,0.086177696,0.093800735
11145,0.2390169,0.121029224,0.067658648,0.162042731,0.21511138,0.107222631
11146,0.076961041,0.102383008,0.148420005,0.141248842,0.113328685,0.09529383
11147,0.086177696,0.109146376,0,0.149321232,0.067658648,0.107129127
11148,0.182321557,0.120606519,0.113328685,0.175559266,0.19062036,0.119718049
11149,0.048790164,0.108966378,0.09531018,0.144452171,0.058268908,0.100190464
11150,0.300104592,0.126539192,0.086177696,0.166291814,0.277631737,0.104486945
11151,-0.094310679,0.105938451,0.076961041,0.143221124,-0.030459207,0.099986554
11152,-0.072570693,0.146776568,0.336472237,0.174265973,0.113328685,0.124666204
11153,-0.094310679,0.114968848,0.165514438,0.15853048,0.019802627,0.111844017
11154,0.058268908,0.15631337,0.254642218,0.194864597,0.198850859,0.13834325
11155,-0.083381609,0.172461136,-0.261364764,0.230604655,-0.174353387,0.160262923
11156,-0.15082289,0.096961022,-0.116533816,0.126307183,-0.162518929,0.087994521
11157,-0.139262067,0.142359189,-0.094310679,0.185886641,-0.15082289,0.143801608
11158,-0.094310679,0.157868397,0.029558802,0.211799499,-0.040821995,0.146776568
11159,-0.083381609,0.122645591,-0.051293294,0.163938996,-0.072570693,0.117129817
11160,-0.235722334,0.19157361,-0.248461359,0.264534947,-0.314710745,0.185459647
11162,0.009950331,0.116870699,-0.040821995,0.146776568,0.019802627,0.103745369
11163,-0.116533816,0.121811964,-0.061875404,0.153516482,-0.116533816,0.103424241
11164,-0.072570693,0.125777551,-0.127833372,0.162476393,-0.105360516,0.1161113
11165,-0.105360516,0.107000271,-0.061875404,0.141319787,-0.094310679,0.101362599
11166,-0.072570693,0.121472006,-0.083381609,0.164489035,-0.083381609,0.113848751
