SA2_code,y.liver.male,sd.liver.male,y.liver.female,sd.liver.female,y.liver.persons,sd.liver.persons
21116,0.3852624007906449,0.19870651365394043,0.09531017980432493,0.2310261370945728,0.25464221837358075,0.17840497371415756
21117,0.494696241836107,0.17916940088852157,0.3852624007906449,0.20105228367875144,0.5653138090500605,0.16247639342782377
21118,0.23111172096338664,0.2433286082093415,0.20701416938432612,0.2581304277917341,0.2468600779315258,0.21998646164202618
21119,0.4252677354043441,0.18297643286942106,0.2468600779315258,0.19067163764978784,0.412109650826833,0.15846751631360043
21120,0.5423242908253617,0.27003026808919833,0.23111172096338664,0.27263067406948205,0.4824261492442928,0.2452796778207718
21121,0.4824261492442928,0.22542487361175464,0.23111172096338664,0.2532841256703526,0.4252677354043441,0.20352434059285984
21122,0.4762341789963717,0.19727335517891229,0.28517894223366247,0.22815762830590008,0.4885800148186709,0.18447495640354036
21123,0.3987761199573678,0.18708761335826718,0.28517894223366247,0.21574329123471095,0.412109650826833,0.16584408936218703
21124,0.5007752879124892,0.19117012726602586,0.2700271372130602,0.20557006940273753,0.4762341789963717,0.16849065656662082
21125,0.22314355131420976,0.20822868649369797,0.09531017980432493,0.2310261370945728,0.16551443847757333,0.18628255744112096
21126,0.27763173659827955,0.1804285919610093,0.20701416938432612,0.19990935291039688,0.29266961396282004,0.16454899241194565
21128,0.04879016416943205,0.19540421033474786,0.058268908123975824,0.22576856111658844,0.009950330853168092,0.18096570547690874
21129,0.1823215567939546,0.2125076246401783,0.04879016416943205,0.24583575861874404,0.17395330712343798,0.19384275821581615
21130,0.3293037471426003,0.21295112262519122,0.19885085874516517,0.26229538219946935,0.3293037471426003,0.18817906884101224
21131,0.3074846997479607,0.22408328966327262,0.1823215567939546,0.226335139832929,0.28517894223366247,0.19260664838855832
21132,0.26236426446749106,0.2146594797137514,0.1906203596086497,0.25639123517923246,0.2700271372130602,0.1923857677783052
21133,0.28517894223366247,0.17657797684091597,0.17395330712343798,0.22235319617217159,0.3293037471426003,0.15677198057599526
21134,0.36464311358790924,0.1851558641272288,0,0.21026002593205764,0.2700271372130602,0.16494883064524193
21135,0.16551443847757333,0.20397927070024854,0.01980262729617973,0.22003724084899848,0.10436001532424286,0.17689571634488466
21136,0.3987761199573678,0.16278758836374949,0.06765864847381486,0.18577743262843008,0.3148107398400336,0.1477067484761714
21137,0.3364722366212129,0.1794195929159123,0.25464221837358075,0.20023521616579473,0.371563556432483,0.15636223791704804
21138,0.1570037488096647,0.17847645589734037,0.0769610411361284,0.19411418668507505,0.10436001532424286,0.1502122982822066
