SA2_code,y.brain.male,sd.brain.male,y.brain.female,sd.brain.female,y.brain.persons,sd.brain.persons
31194,-0.05129329438755058,0.07479769091422221,-0.020202707317519466,0.06812826154312385,-0.05129329438755058,0.05106298905968502
31195,-0.01005033585350145,0.16945603827684422,0.01980262729617973,0.1723835800896103,-0.01005033585350145,0.1230418657229021
31196,-0.07257069283483537,0.13848038345918395,0,0.1377689475576838,-0.06187540371808753,0.10287619698635009
31197,-0.06187540371808753,0.12459028597553169,-0.01005033585350145,0.1230418657229021,-0.05129329438755058,0.08852598322030597
31198,-0.06187540371808753,0.11601522561003105,0,0.11791414334866665,-0.05129329438755058,0.08852598322030597
31199,-0.07257069283483537,0.12577755099911905,-0.01005033585350145,0.1270751205734701,-0.06187540371808753,0.0939250185930289
31200,-0.06187540371808753,0.08481398930731142,-0.01005033585350145,0.08523167584855416,-0.05129329438755058,0.06543588547126479
31201,-0.06187540371808753,0.12459028597553169,-0.01005033585350145,0.1230418657229021,-0.06187540371808753,0.09842023781861813
31203,-0.07257069283483537,0.11712981716556127,0,0.11791414334866665,-0.05129329438755058,0.0839908059666091
31204,-0.07257069283483537,0.12577755099911905,-0.01005033585350145,0.13107674172705472,-0.06187540371808753,0.09842023781861813
31205,-0.020202707317519466,0.11176202350136971,-0.06187540371808753,0.10287619698635009,-0.06187540371808753,0.08019672628694513
31206,-0.030459207484708574,0.09126490438927642,-0.040821994520255166,0.08318348328801238,-0.05129329438755058,0.06068976676600278
31207,0.02955880224154443,0.1529310943372734,-0.05129329438755058,0.13592075204311024,-0.030459207484708574,0.10856161442788936
31208,-0.01005033585350145,0.11897647304475062,-0.06187540371808753,0.10287619698635009,-0.06187540371808753,0.08481398930731142
31209,0,0.11791414334866665,-0.05129329438755058,0.10627400163123228,-0.05129329438755058,0.07941495393458849
31210,-0.020202707317519466,0.12822164708209496,-0.05129329438755058,0.10627400163123228,-0.06187540371808753,0.08481398930731142
31211,-0.01005033585350145,0.11897647304475062,-0.05129329438755058,0.10627400163123228,-0.05129329438755058,0.0839908059666091
31212,-0.020202707317519466,0.12822164708209496,-0.040821994520255166,0.10527369030501454,-0.05129329438755058,0.07941495393458849
31213,-0.020202707317519466,0.1033287061793235,-0.05129329438755058,0.08852598322030597,-0.06187540371808753,0.07553729589752038
