SA2_code,y.colorectal.male,sd.colorectal.male,y.colorectal.female,sd.colorectal.female,y.colorectal.persons,sd.colorectal.persons
31223,0.009950330853168092,0.09637782035305974,-0.040821994520255166,0.09213466168133358,-0.030459207484708574,0.07789634704538657
31224,0.01980262729617973,0.07000057220075763,0.01980262729617973,0.07000057220075763,0.01980262729617973,0.06562111113372117
31225,-0.06187540371808753,0.07083492084398772,0.02955880224154443,0.07367066575606815,-0.020202707317519466,0.058935146490736945
31226,-0.06187540371808753,0.08019672628694513,0.009950330853168092,0.07936944266551288,-0.040821994520255166,0.06479576059250386
31227,-0.01005033585350145,0.08957386445462999,0.06765864847381486,0.08742767959014544,0.04879016416943205,0.07236234461184575
31228,-0.020202707317519466,0.07715865802240994,0.02955880224154443,0.07367066575606815,0,0.06685115428898164
31229,-0.020202707317519466,0.09475364581382285,0.03922071315328133,0.08974013595084906,0.01980262729617973,0.07434276080683347
31230,-0.12783337150988489,0.1184660136908815,0.009950330853168092,0.11687069878435297,-0.06187540371808753,0.0939250185930289
31231,-0.08338160893905101,0.09116927997111017,0.01980262729617973,0.08715190424105611,-0.030459207484708574,0.07336116979168972
31232,-0.11653381625595151,0.08434896960478752,-0.030459207484708574,0.07789634704538657,-0.09431067947124129,0.06812826154312379
31233,-0.11653381625595151,0.0891850634591466,0,0.08444614208039455,-0.07257069283483537,0.07154558230033174
31234,-0.06187540371808753,0.08019672628694513,-0.01005033585350145,0.08085221478151769,-0.040821994520255166,0.06479576059250386
31235,0.04879016416943205,0.07236234461184575,0.02955880224154443,0.07367066575606815,0.03922071315328133,0.06009338553897111
31236,0.0769610411361284,0.09459348129151157,0.04879016416943205,0.08485776298342522,0.0769610411361284,0.07458291335616396
31237,0.03922071315328133,0.0814439518325938,0.058268908123975824,0.08002166912906615,0.04879016416943205,0.06385874640510507
31238,0.009950330853168092,0.08794450303101352,0.02955880224154443,0.08217426396280882,0.009950330853168092,0.07064779299240058
31239,0,0.10975070388619668,0.1906203596086497,0.11637243635180375,0.12221763272424911,0.090758652921474
31240,0.03922071315328133,0.09790357541331904,0.131028262406404,0.09747716161362716,0.10436001532424286,0.07667459339251934
31241,0.009950330853168092,0.0662304140418319,0.02955880224154443,0.06502293192251035,0.02955880224154443,0.056226091904905205
31242,-0.01005033585350145,0.06748365743762784,0.02955880224154443,0.06502293192251035,0.009950330853168092,0.05727923564851073
31243,-0.06187540371808753,0.06608880213872571,0,0.062355935063392404,-0.040821994520255166,0.055347266833709205
31244,-0.01005033585350145,0.07197887666321708,0.03922071315328133,0.07301063451054758,0.01980262729617973,0.0612037321831525
31245,-0.01005033585350145,0.08523167584855416,0.03922071315328133,0.07724471757926958,0.01980262729617973,0.07000057220075763
31246,0,0.07130711345671359,0.01980262729617973,0.07000057220075763,0.009950330853168092,0.05727923564851073
31247,0.04879016416943205,0.0970544572964632,0.009950330853168092,0.09217858609973552,0.02955880224154443,0.08217426396280882
