SA2_code,y.head_neck.male,sd.head_neck.male,y.head_neck.female,sd.head_neck.female,y.head_neck.persons,sd.head_neck.persons
31207,0.3220834991691132,0.18419048241700542,-0.07257069283483537,0.19764358809942295,0.2151113796169455,0.16694536286143685
31208,0.131028262406404,0.15012218010098982,0.058268908123975824,0.15275792660604084,0.12221763272424911,0.1342065143195897
31209,0.08617769624105241,0.16965950949853706,0.03922071315328133,0.15165894054486304,0.09531017980432493,0.14793480662567346
31210,0.2151113796169455,0.16990307596568477,0.06765864847381486,0.15856009553389294,0.2151113796169455,0.14882970548546243
31211,0.30010459245033816,0.16350606901774073,0.12221763272424911,0.1645245859883656,0.35065687161316933,0.14317087001463696
31212,0.3220834991691132,0.17114107334065354,0.10436001532424286,0.17035454877903694,0.371563556432483,0.15376577388262386
31213,0.14842000511827322,0.12773271165259928,0.058268908123975824,0.13088868965104988,0.14842000511827322,0.1138487506705152
31214,0.23901690047049992,0.1457712390124909,0.03922071315328133,0.14800154795373416,0.1906203596086497,0.13288533660794236
31215,0.2151113796169455,0.15189400347536647,0.058268908123975824,0.14194047372308013,0.19885085874516517,0.12868610235461814
31216,0.2700271372130602,0.13295975196383172,0.03922071315328133,0.1331040200495188,0.23111172096338664,0.11868484452487428
31217,0.5766133643039938,0.13737495064980382,0.08617769624105241,0.1349383547816923,0.5423242908253617,0.1255780967035248
31218,0.28517894223366247,0.13119660642433634,0.058268908123975824,0.12338555322773588,0.29266961396282004,0.11536947931242218
31219,0.131028262406404,0.12622865985400053,0.01980262729617973,0.11981611789663317,0.11332868530700327,0.12108580933988064
31220,0.23111172096338664,0.1250624785882577,0.058268908123975824,0.11577042556616665,0.23111172096338664,0.1122264787738929
31221,0.12221763272424911,0.36037458410300977,0.009950330853168092,0.26864440799051037,0.11332868530700327,0.31090678443596254
31222,0.17395330712343798,0.17593902361822936,0.01980262729617973,0.18297643286942109,0.10436001532424286,0.16038281608874602
31223,0.28517894223366247,0.13415431952858425,-0.09431067947124129,0.16196644427829135,0.1570037488096647,0.1233532505855628
31224,-0.08338160893905101,0.12264559068812027,-0.09431067947124129,0.11942480706448977,-0.09431067947124129,0.1149688478967578
31225,0.04879016416943205,0.12442829071091224,-0.01005033585350145,0.1230418657229021,0.04879016416943205,0.10502655826742281
31226,0.01980262729617973,0.1237559373323017,-0.030459207484708574,0.13345455533066083,0.009950330853168092,0.11283744393378498
31227,-0.09431067947124129,0.14537297912239336,-0.10536051565782628,0.14250705243942055,-0.11653381625595151,0.13518052110929835
31228,0.09531017980432493,0.12304186572290202,-0.08338160893905101,0.12264559068812027,0.02955880224154443,0.11086799780101092
31229,0.04879016416943205,0.15401362624680473,-0.06187540371808753,0.14948322687830315,0.01980262729617973,0.13921785034012263
31230,0.3852624007906449,0.17216509286267598,-0.030459207484708574,0.18720992046220483,0.27763173659827955,0.15539994043591027
31231,0.14842000511827322,0.14124884198268925,0.01980262729617973,0.1467765675774393,0.131028262406404,0.12622865985400053
31232,0.11332868530700327,0.13874169157328656,0.009950330853168092,0.13657214578832216,0.08617769624105241,0.1203601035347249
31233,0.058268908123975824,0.13828308113195126,0.009950330853168092,0.144244532198802,0.058268908123975824,0.11959219685655317
31234,0.09531017980432493,0.12667322682946527,-0.040821994520255166,0.13467629889513516,0.03922071315328133,0.10990893123484664
31235,-0.06187540371808753,0.1288243690442537,-0.21072103131565253,0.12259175181489641,-0.16251892949777494,0.11264685592946468
31236,-0.08338160893905101,0.15639038788431672,-0.2231435513142097,0.15311458798486638,-0.1743533871447778,0.14220071554541872
31237,-0.07257069283483537,0.13848038345918395,-0.21072103131565253,0.14203044887217725,-0.16251892949777494,0.11743753978142338
31238,-0.06187540371808753,0.1330236032975779,-0.2484613592984996,0.14184702119390002,-0.19845093872383832,0.12126104687608145
31239,-0.10536051565782628,0.17570276333077867,-0.23572233352106983,0.2003704501687421,-0.1743533871447778,0.16026292322445737
31240,0.009950330853168092,0.15554102499329872,-0.16251892949777494,0.17593902361822936,-0.020202707317519466,0.14022700290362256
31241,-0.06187540371808753,0.12032077083751302,-0.01005033585350145,0.10238300788885263,-0.030459207484708574,0.10856161442788936
31242,-0.020202707317519466,0.12005820761962498,0.058268908123975824,0.11191981044607333,0.02955880224154443,0.10283312179685827
31243,-0.01005033585350145,0.11487842626043211,0.01980262729617973,0.10781076207510557,0.02955880224154443,0.0987677291187068
31244,-0.21072103131565253,0.12752129819843563,-0.06187540371808753,0.12032077083751302,-0.19845093872383832,0.11135386021429493
31245,-0.08338160893905101,0.1522923410999982,-0.040821994520255166,0.13057825211081664,-0.10536051565782628,0.13820150721193858
31246,-0.10536051565782628,0.12060651942052565,-0.09431067947124129,0.11047362867116857,-0.11653381625595151,0.10808367145932471
31247,-0.18632957819149348,0.17517006479650926,-0.09431067947124129,0.15786839749397283,-0.18632957819149348,0.15288686913188612
31248,0.01980262729617973,0.10781076207510557,-0.08338160893905101,0.10939279150278318,-0.01005033585350145,0.09814892482013064
31249,-0.10536051565782628,0.13820150721193858,-0.11653381625595151,0.12630718299099772,-0.11653381625595151,0.12181196376540848
31250,-0.13926206733350766,0.13340801023354937,-0.07257069283483537,0.1214720057716371,-0.15082288973458366,0.1255780967035248
